date,hour_utc,generation_type,platform,total_requests,cache_hits,cache_misses,hit_rate_pct,miss_rate_pct,avg_similarity_score_on_hit,avg_similarity_score_on_miss,avg_latency_ms_hit,avg_latency_ms_miss,unique_vibes,evictions,index_size_at_eod
2026-04-02,14,dsp,n/a,28,14,14,50.0,50.0,0.958,0.418,14,1978,13,0,14
2026-04-02,15,dsp,n/a,34,17,17,50.0,50.0,0.963,0.423,17,2134,15,1,14
2026-04-02,9,shader,webgpu,16,7,9,43.8,56.3,0.954,0.401,9,2187,9,0,10
2026-04-02,10,shader,webgpu,21,10,11,47.6,52.4,0.961,0.412,11,2056,11,0,10
2026-04-02,11,shader,webgpu,26,13,13,50.0,50.0,0.957,0.389,13,2098,13,0,10
2026-04-02,12,shader,webgpu,9,4,5,44.4,55.6,0.953,0.401,5,1987,5,0,10
2026-04-02,13,shader,webgpu,18,9,9,50.0,50.0,0.962,0.418,9,2143,9,0,10
2026-04-02,14,shader,webgpu,24,12,12,50.0,50.0,0.958,0.407,12,2067,12,0,10
2026-04-02,15,shader,webgpu,29,15,14,51.7,48.3,0.964,0.423,14,2198,13,0,10
2026-04-02,9,shader,webgl,12,5,7,41.7,58.3,0.949,0.389,7,2234,7,0,7
2026-04-02,10,shader,webgl,17,8,9,47.1,52.9,0.956,0.401,9,2109,9,0,7
2026-04-02,11,shader,webgl,22,11,11,50.0,50.0,0.953,0.412,11,2056,11,0,7
2026-04-02,13,shader,webgl,14,7,7,50.0,50.0,0.961,0.398,7,1987,7,0,7
2026-04-02,14,shader,webgl,19,10,9,52.6,47.4,0.958,0.418,9,2045,9,0,7
2026-04-02,15,shader,webgl,23,12,11,52.2,47.8,0.963,0.423,11,2098,10,0,7
2026-04-03,9,dsp,n/a,35,18,17,51.4,48.6,0.962,0.409,17,2034,15,1,14
2026-04-03,10,dsp,n/a,42,22,20,52.4,47.6,0.965,0.398,20,1912,17,1,14
2026-04-03,11,dsp,n/a,49,26,23,53.1,46.9,0.961,0.412,23,2089,18,1,14
2026-04-03,12,dsp,n/a,16,9,7,56.3,43.8,0.958,0.389,7,1978,7,0,14
2026-04-03,13,dsp,n/a,38,21,17,55.3,44.7,0.963,0.401,17,2045,15,1,14
2026-04-03,14,dsp,n/a,44,25,19,56.8,43.2,0.967,0.418,19,1934,16,1,14
2026-04-03,15,dsp,n/a,51,29,22,56.9,43.1,0.964,0.423,22,2123,17,2,14
2026-04-03,9,shader,webgpu,28,15,13,53.6,46.4,0.961,0.401,13,2156,13,1,10
2026-04-03,10,shader,webgpu,34,18,16,52.9,47.1,0.958,0.412,16,2034,15,1,10
2026-04-03,11,shader,webgpu,41,22,19,53.7,46.3,0.963,0.389,19,2089,18,1,10
2026-04-03,12,shader,webgpu,14,8,6,57.1,42.9,0.959,0.401,6,1978,6,0,10
2026-04-03,13,shader,webgpu,29,16,13,55.2,44.8,0.964,0.418,13,2145,13,0,10
2026-04-03,14,shader,webgpu,36,20,16,55.6,44.4,0.961,0.407,16,2067,15,1,10
2026-04-03,15,shader,webgpu,43,24,19,55.8,44.2,0.965,0.423,19,2198,17,1,10
2026-04-03,9,shader,webgl,21,11,10,52.4,47.6,0.957,0.389,10,2123,10,0,7
2026-04-03,10,shader,webgl,26,14,12,53.8,46.2,0.961,0.401,12,2056,12,0,7
2026-04-03,11,shader,webgl,32,18,14,56.3,43.8,0.958,0.412,14,2089,14,1,7
2026-04-03,13,shader,webgl,22,12,10,54.5,45.5,0.963,0.398,10,2034,10,0,7
2026-04-03,14,shader,webgl,28,16,12,57.1,42.9,0.967,0.418,12,1978,12,0,7
2026-04-03,15,shader,webgl,33,19,14,57.6,42.4,0.964,0.423,14,2112,13,0,7
2026-04-04,9,dsp,n/a,52,30,22,57.7,42.3,0.965,0.411,22,1989,18,2,14
2026-04-04,10,dsp,n/a,61,36,25,59.0,41.0,0.968,0.398,25,1867,19,2,14
2026-04-04,11,dsp,n/a,69,41,28,59.4,40.6,0.964,0.412,28,2034,20,2,14
2026-04-04,12,dsp,n/a,23,14,9,60.9,39.1,0.961,0.389,9,1923,9,0,14
2026-04-04,13,dsp,n/a,56,33,23,58.9,41.1,0.966,0.401,23,1978,19,2,14
2026-04-04,14,dsp,n/a,64,38,26,59.4,40.6,0.969,0.418,26,1912,20,2,14
2026-04-04,15,dsp,n/a,72,43,29,59.7,40.3,0.967,0.423,29,2056,21,2,14
2026-04-04,9,shader,webgpu,43,25,18,58.1,41.9,0.963,0.401,18,2123,16,2,10
2026-04-04,10,shader,webgpu,51,30,21,58.8,41.2,0.967,0.412,21,2034,18,2,10
2026-04-04,11,shader,webgpu,59,35,24,59.3,40.7,0.964,0.389,24,2089,20,2,10
2026-04-04,12,shader,webgpu,19,11,8,57.9,42.1,0.961,0.401,8,1978,8,0,10
2026-04-04,13,shader,webgpu,44,26,18,59.1,40.9,0.965,0.418,18,2145,16,1,10
2026-04-04,14,shader,webgpu,52,31,21,59.6,40.4,0.968,0.407,21,2067,18,2,10
2026-04-04,15,shader,webgpu,60,36,24,60.0,40.0,0.966,0.423,24,2198,20,2,10
2026-04-04,9,shader,webgl,34,20,14,58.8,41.2,0.961,0.389,14,2123,13,1,7
2026-04-04,10,shader,webgl,41,24,17,58.5,41.5,0.964,0.401,17,2056,15,1,7
2026-04-04,11,shader,webgl,48,29,19,60.4,39.6,0.967,0.412,19,2089,17,1,7
2026-04-04,13,shader,webgl,35,21,14,60.0,40.0,0.963,0.398,14,2034,13,1,7
2026-04-04,14,shader,webgl,43,26,17,60.5,39.5,0.968,0.418,17,1978,15,1,7
2026-04-04,15,shader,webgl,51,31,20,60.8,39.2,0.965,0.423,20,2112,17,1,7
2026-04-05,9,dsp,n/a,74,45,29,60.8,39.2,0.967,0.413,29,1912,21,3,14
2026-04-05,10,dsp,n/a,83,51,32,61.4,38.6,0.969,0.398,32,1845,22,3,14
2026-04-05,11,dsp,n/a,91,57,34,62.6,37.4,0.966,0.412,34,1978,23,3,14
2026-04-05,12,dsp,n/a,31,20,11,64.5,35.5,0.963,0.389,11,1867,11,1,14
2026-04-05,13,dsp,n/a,78,49,29,62.8,37.2,0.968,0.401,29,1934,21,3,14
2026-04-05,14,dsp,n/a,87,55,32,63.2,36.8,0.971,0.418,32,1889,22,3,14
2026-04-05,15,dsp,n/a,96,61,35,63.5,36.5,0.969,0.423,35,2012,23,4,14
2026-04-05,9,shader,webgpu,58,36,22,62.1,37.9,0.965,0.401,22,2067,19,2,10
2026-04-05,10,shader,webgpu,67,42,25,62.7,37.3,0.968,0.412,25,1989,21,2,10
2026-04-05,11,shader,webgpu,75,48,27,64.0,36.0,0.966,0.389,27,2034,22,3,10
2026-04-05,12,shader,webgpu,24,16,8,66.7,33.3,0.963,0.401,8,1923,8,1,10
2026-04-05,13,shader,webgpu,59,37,22,62.7,37.3,0.967,0.418,22,2089,19,2,10
2026-04-05,14,shader,webgpu,68,43,25,63.2,36.8,0.969,0.407,25,2012,21,2,10
2026-04-05,15,shader,webgpu,77,49,28,63.6,36.4,0.967,0.423,28,2156,22,3,10
2026-04-05,9,shader,webgl,46,29,17,63.0,37.0,0.963,0.389,17,2089,16,2,7
2026-04-05,10,shader,webgl,54,34,20,63.0,37.0,0.966,0.401,20,2034,18,2,7
2026-04-05,11,shader,webgl,62,40,22,64.5,35.5,0.969,0.412,22,1978,19,2,7
2026-04-05,13,shader,webgl,47,30,17,63.8,36.2,0.964,0.398,17,2056,16,1,7
2026-04-05,14,shader,webgl,55,35,20,63.6,36.4,0.967,0.418,20,1989,18,2,7
2026-04-05,15,shader,webgl,63,41,22,65.1,34.9,0.965,0.423,22,2112,19,2,7
